trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
haemodynamics.systolic_blood_pressure.read_v2,haemodynamics,systolic_blood_pressure,read_v2,gp_clinical,read_2,exact,true,2469.,O/E - Systolic BP reading,O/E - Systolic BP reading,O/E - Systolic BP reading,core,numeric_candidate,mmHg,read_v2_lkp,00,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.read_v2,haemodynamics,systolic_blood_pressure,read_v2,gp_clinical,read_2,exact,true,246N.,Standing systolic blood pressure,Standing systolic blood pressure,Standing systolic blood pressure,core,numeric_candidate,mmHg,read_v2_lkp,00,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.read_v2,haemodynamics,systolic_blood_pressure,read_v2,gp_clinical,read_2,exact,true,246Q.,Sitting systolic blood pressure,Sitting systolic blood pressure,Sitting systolic blood pressure,core,numeric_candidate,mmHg,read_v2_lkp,00,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.read_v2,haemodynamics,systolic_blood_pressure,read_v2,gp_clinical,read_2,exact,true,246S.,Lying systolic blood pressure,Lying systolic blood pressure,Lying systolic blood pressure,core,numeric_candidate,mmHg,read_v2_lkp,00,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.read_v2,haemodynamics,systolic_blood_pressure,read_v2,gp_clinical,read_2,exact,true,246W.,Average 24 hour systolic blood pressure,Average 24 hour systolic blood pressure,Average 24 hour systolic blood pressure,core,numeric_candidate,mmHg,read_v2_lkp,00,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.read_v2,haemodynamics,systolic_blood_pressure,read_v2,gp_clinical,read_2,exact,true,246Y.,Average day interval systolic blood pressure,Average day interval systolic blood pressure,Average day interval systolic blood pressure,core,numeric_candidate,mmHg,read_v2_lkp,00,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.read_v2,haemodynamics,systolic_blood_pressure,read_v2,gp_clinical,read_2,exact,true,246b.,Average night interval systolic blood pressure,Average night interval systolic blood pressure,Average night interval systolic blood pressure,core,numeric_candidate,mmHg,read_v2_lkp,00,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.read_v2,haemodynamics,systolic_blood_pressure,read_v2,gp_clinical,read_2,exact,true,246d.,Average home systolic blood pressure,Average home systolic blood pressure,Average home systolic blood pressure,core,numeric_candidate,mmHg,read_v2_lkp,00,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.read_v2,haemodynamics,systolic_blood_pressure,read_v2,gp_clinical,read_2,exact,true,246e.,Ambulatory systolic blood pressure,Ambulatory systolic blood pressure,Ambulatory systolic blood pressure,core,numeric_candidate,mmHg,read_v2_lkp,00,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.read_v2,haemodynamics,systolic_blood_pressure,read_v2,gp_clinical,read_2,exact,true,246l.,Average systolic blood pressure,Average systolic blood pressure,Average systolic blood pressure,core,numeric_candidate,mmHg,read_v2_lkp,00,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.read_v2,haemodynamics,systolic_blood_pressure,read_v2,gp_clinical,read_2,exact,true,246j.,Systolic blood pressure centile,Systolic blood pressure centile,Systolic blood pressure centile,extended_review,numeric_candidate,mmHg,read_v2_lkp,00,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.read_v2,haemodynamics,systolic_blood_pressure,read_v2,gp_clinical,read_2,exact,true,246n1,Baseline systolic blood pressure,Baseline systolic blood pressure,Baseline systolic blood pressure,extended_review,numeric_candidate,mmHg,read_v2_lkp,00,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.read_v2,haemodynamics,systolic_blood_pressure,read_v2,gp_clinical,read_2,exact,true,246o0,Non-invasive central systolic blood pressure,Non-invasive central systolic blood pressure,Non-invasive central systolic blood pressure,extended_review,numeric_candidate,mmHg,read_v2_lkp,00,candidate_requires_clinical_review
