trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
haemodynamics.diastolic_blood_pressure.ctv3,haemodynamics,diastolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,.246A,O/E - Diastolic BP reading,O/E - Diastolic BP reading,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.diastolic_blood_pressure.ctv3,haemodynamics,diastolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,.246P,Standing diastolic blood pressure,Standing diastolic blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.diastolic_blood_pressure.ctv3,haemodynamics,diastolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,.246R,Sitting diastolic blood pressure,Sitting diastolic blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.diastolic_blood_pressure.ctv3,haemodynamics,diastolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,.246T,Lying diastolic blood pressure,Lying diastolic blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.diastolic_blood_pressure.ctv3,haemodynamics,diastolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,.246V,Average 24 hour diastolic blood pressure,Average 24 hour diastolic blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.diastolic_blood_pressure.ctv3,haemodynamics,diastolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,.246X,Average day interval diastolic blood pressure,Average day interval diastolic blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.diastolic_blood_pressure.ctv3,haemodynamics,diastolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,.246a,Average night interval diastolic blood pressure,Average night interval diastolic blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.diastolic_blood_pressure.ctv3,haemodynamics,diastolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,.246c,Average home diastolic blood pressure,Average home diastolic blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.diastolic_blood_pressure.ctv3,haemodynamics,diastolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,.246f,Ambulatory diastolic blood pressure,Ambulatory diastolic blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.diastolic_blood_pressure.ctv3,haemodynamics,diastolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,246A.,O/E - Diastolic BP reading,O/E - Diastolic BP reading,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.diastolic_blood_pressure.ctv3,haemodynamics,diastolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,246P.,Standing diastolic blood pressure,Standing diastolic blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.diastolic_blood_pressure.ctv3,haemodynamics,diastolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,246R.,Sitting diastolic blood pressure,Sitting diastolic blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.diastolic_blood_pressure.ctv3,haemodynamics,diastolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,246T.,Lying diastolic blood pressure,Lying diastolic blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
